Year,Item,Area_ha,total_area,area_share,prev_area_share
1961,Barley,3885.0,297595.0,0.013054654816109141,
1961,"Beans, dry",5000.0,297595.0,0.016801357549690015,
1961,Maize (corn),135000.0,297595.0,0.4536366538416304,
1961,Oats,642.0,297595.0,0.002157294309380198,
1961,"Other fruits, n.e.c.",2700.0,297595.0,0.009072733076832607,
1961,"Other vegetables, fresh n.e.c.",1765.0,297595.0,0.005930879215040576,
1961,"Peas, dry",16871.0,297595.0,0.05669114064416405,
1961,Potatoes,200.0,297595.0,0.0006720543019876006,
1961,Sorghum,65000.0,297595.0,0.2184176481459702,
1961,Wheat,66532.0,297595.0,0.22356558409919522,
1962,Barley,4000.0,296430.0,0.013493910872718685,0.013054654816109141
1962,"Beans, dry",5000.0,296430.0,0.01686738859089836,0.016801357549690015
1962,Maize (corn),135000.0,296430.0,0.45541949195425563,0.4536366538416304
1962,Oats,700.0,296430.0,0.00236143440272577,0.002157294309380198
1962,"Other fruits, n.e.c.",2700.0,296430.0,0.009108389839085114,0.009072733076832607
1962,"Other vegetables, fresh n.e.c.",1830.0,296430.0,0.006173464224268799,0.005930879215040576
1962,"Peas, dry",12000.0,296430.0,0.04048173261815606,0.05669114064416405
1962,Potatoes,200.0,296430.0,0.0006746955436359342,0.0006720543019876006
1962,Sorghum,65000.0,296430.0,0.21927605168167863,0.2184176481459702
1962,Wheat,70000.0,296430.0,0.236143440272577,0.22356558409919522
1963,Barley,4000.0,295485.0,0.013537066179332284,0.013493910872718685
1963,"Beans, dry",5000.0,295485.0,0.016921332724165357,0.01686738859089836
1963,Maize (corn),135000.0,295485.0,0.4568759835524646,0.45541949195425563
1963,Oats,700.0,295485.0,0.0023689865813831495,0.00236143440272577
1963,"Other fruits, n.e.c.",2700.0,295485.0,0.009137519671049291,0.009108389839085114
1963,"Other vegetables, fresh n.e.c.",1885.0,295485.0,0.006379342437010339,0.006173464224268799
1963,"Peas, dry",11000.0,295485.0,0.03722693199316378,0.04048173261815606
1963,Potatoes,200.0,295485.0,0.0006768533089666142,0.0006746955436359342
1963,Sorghum,65000.0,295485.0,0.2199773254141496,0.21927605168167863
1963,Wheat,70000.0,295485.0,0.23689865813831498,0.236143440272577
1964,Barley,3500.0,298045.0,0.011743193141975205,0.013537066179332284
1964,"Beans, dry",8000.0,298045.0,0.026841584324514754,0.016921332724165357
1964,Maize (corn),135000.0,298045.0,0.4529517354761865,0.4568759835524646
1964,Oats,700.0,298045.0,0.002348638628395041,0.0023689865813831495
1964,"Other fruits, n.e.c.",2700.0,298045.0,0.00905903470952373,0.009137519671049291
1964,"Other vegetables, fresh n.e.c.",1945.0,298045.0,0.00652586018889765,0.006379342437010339
1964,"Peas, dry",11000.0,298045.0,0.036907178446207785,0.03722693199316378
1964,Potatoes,200.0,298045.0,0.0006710396081128689,0.0006768533089666142
1964,Sorghum,65000.0,298045.0,0.2180878726366824,0.2199773254141496
1964,Wheat,70000.0,298045.0,0.2348638628395041,0.23689865813831498
1965,Barley,3000.0,310485.0,0.009662302526692111,0.011743193141975205
1965,"Beans, dry",5700.0,310485.0,0.018358374800715012,0.026841584324514754
1965,Maize (corn),155000.0,310485.0,0.49921896387909237,0.4529517354761865
1965,Oats,700.0,310485.0,0.0022545372562281594,0.002348638628395041
1965,"Other fruits, n.e.c.",2700.0,310485.0,0.008696072274022899,0.00905903470952373
1965,"Other vegetables, fresh n.e.c.",1985.0,310485.0,0.00639322350516128,0.00652586018889765
1965,"Peas, dry",13200.0,310485.0,0.042514131117445286,0.036907178446207785
1965,Potatoes,200.0,310485.0,0.000644153501779474,0.0006710396081128689
1965,Sorghum,58200.0,310485.0,0.18744866901782695,0.2180878726366824
1965,Wheat,69800.0,310485.0,0.22480957212103644,0.2348638628395041
1966,Barley,2500.0,303855.0,0.008227608563294993,0.009662302526692111
1966,"Beans, dry",6300.0,303855.0,0.02073357357950338,0.018358374800715012
1966,Maize (corn),140000.0,303855.0,0.46074607954451957,0.49921896387909237
1966,Oats,700.0,303855.0,0.002303730397722598,0.0022545372562281594
1966,"Other fruits, n.e.c.",2800.0,303855.0,0.009214921590890391,0.008696072274022899
1966,"Other vegetables, fresh n.e.c.",2205.0,303855.0,0.0072567507528261835,0.00639322350516128
1966,"Peas, dry",12800.0,303855.0,0.042125355844070365,0.042514131117445286
1966,Potatoes,250.0,303855.0,0.0008227608563294992,0.000644153501779474
1966,Sorghum,65100.0,303855.0,0.2142469269882016,0.18744866901782695
1966,Wheat,71200.0,303855.0,0.2343222918826414,0.22480957212103644
1967,Barley,2500.0,316155.0,0.007907513719536303,0.008227608563294993
1967,"Beans, dry",7900.0,316155.0,0.02498774335373472,0.02073357357950338
1967,Maize (corn),148000.0,316155.0,0.46812481219654917,0.46074607954451957
1967,Oats,700.0,316155.0,0.002214103841470165,0.002303730397722598
1967,"Other fruits, n.e.c.",2800.0,316155.0,0.00885641536588066,0.009214921590890391
1967,"Other vegetables, fresh n.e.c.",2205.0,316155.0,0.006974427100631019,0.0072567507528261835
1967,"Peas, dry",12100.0,316155.0,0.038272366402555706,0.042125355844070365
1967,Potatoes,250.0,316155.0,0.0007907513719536303,0.0008227608563294992
1967,Sorghum,66300.0,316155.0,0.20970726384210275,0.2142469269882016
1967,Wheat,73400.0,316155.0,0.23216460280558587,0.2343222918826414
1968,Barley,2000.0,338138.0,0.005914744867480141,0.007907513719536303
1968,"Beans, dry",9323.0,338138.0,0.02757158319975868,0.02498774335373472
1968,Maize (corn),156477.0,338138.0,0.46276076631434504,0.46812481219654917
1968,Oats,700.0,338138.0,0.0020701607036180494,0.002214103841470165
1968,"Other fruits, n.e.c.",2800.0,338138.0,0.008280642814472198,0.00885641536588066
1968,"Other vegetables, fresh n.e.c.",2200.0,338138.0,0.006506219354228155,0.006974427100631019
1968,"Peas, dry",11126.0,338138.0,0.03290372569779203,0.038272366402555706
1968,Potatoes,250.0,338138.0,0.0007393431084350176,0.0007907513719536303
1968,Sorghum,70562.0,338138.0,0.20867811366956687,0.20970726384210275
1968,Wheat,82700.0,338138.0,0.24457470027030384,0.23216460280558587
1969,Barley,1419.0,339045.0,0.004185285139140822,0.005914744867480141
1969,"Beans, dry",12183.0,339045.0,0.03593328319249657,0.02757158319975868
1969,Maize (corn),142037.0,339045.0,0.41893259006916483,0.46276076631434504
1969,Oats,700.0,339045.0,0.0020646226902033653,0.0020701607036180494
1969,"Other fruits, n.e.c.",2800.0,339045.0,0.008258490760813461,0.008280642814472198
1969,"Other vegetables, fresh n.e.c.",2200.0,339045.0,0.006488814169210577,0.006506219354228155
1969,"Peas, dry",10485.0,339045.0,0.03092509843826041,0.03290372569779203
1969,Potatoes,250.0,339045.0,0.0007373652465012019,0.0007393431084350176
1969,Sorghum,71771.0,339045.0,0.21168576442655104,0.20867811366956687
1969,Wheat,95200.0,339045.0,0.2807886858676577,0.24457470027030384
1970,Barley,1216.0,335746.0,0.003621785516432065,0.004185285139140822
1970,"Beans, dry",16346.0,335746.0,0.048685613529275105,0.03593328319249657
1970,Maize (corn),129247.0,335746.0,0.38495469789662423,0.41893259006916483
1970,Oats,700.0,335746.0,0.002084909425577669,0.0020646226902033653
1970,"Other fruits, n.e.c.",3000.0,335746.0,0.00893532610961858,0.008258490760813461
1970,"Other vegetables, fresh n.e.c.",2450.0,335746.0,0.0072971829895218405,0.006488814169210577
1970,"Peas, dry",12195.0,335746.0,0.03632210063559953,0.03092509843826041
1970,Potatoes,300.0,335746.0,0.0008935326109618581,0.0007373652465012019
1970,Sorghum,82568.0,335746.0,0.24592400207299567,0.21168576442655104
1970,Wheat,87724.0,335746.0,0.26128084921339345,0.2807886858676577
1971,Barley,1007.0,351487.0,0.0028649708239565047,0.003621785516432065
1971,"Beans, dry",17000.0,351487.0,0.048365942410387865,0.048685613529275105
1971,Maize (corn),135000.0,351487.0,0.3840824838471978,0.38495469789662423
1971,Oats,700.0,351487.0,0.001991538805133618,0.002084909425577669
1971,"Other fruits, n.e.c.",3000.0,351487.0,0.008535166307715506,0.00893532610961858
1971,"Other vegetables, fresh n.e.c.",2450.0,351487.0,0.006970385817967663,0.0072971829895218405
1971,"Peas, dry",12000.0,351487.0,0.034140665230862025,0.03632210063559953
1971,Potatoes,300.0,351487.0,0.0008535166307715506,0.0008935326109618581
1971,Sorghum,85000.0,351487.0,0.24182971205193934,0.24592400207299567
1971,Wheat,95030.0,351487.0,0.27036561807406817,0.26128084921339345
1972,Barley,1000.0,303892.0,0.003290642728337699,0.0028649708239565047
1972,"Beans, dry",10000.0,303892.0,0.03290642728337699,0.048365942410387865
1972,Maize (corn),110000.0,303892.0,0.3619707001171469,0.3840824838471978
1972,Oats,700.0,303892.0,0.0023034499098363893,0.001991538805133618
1972,"Other fruits, n.e.c.",3000.0,303892.0,0.009871928185013097,0.008535166307715506
1972,"Other vegetables, fresh n.e.c.",2400.0,303892.0,0.007897542548010478,0.006970385817967663
1972,"Peas, dry",10000.0,303892.0,0.03290642728337699,0.034140665230862025
1972,Potatoes,300.0,303892.0,0.0009871928185013097,0.0008535166307715506
1972,Sorghum,60100.0,303892.0,0.19776762797309572,0.24182971205193934
1972,Wheat,106392.0,303892.0,0.35009806115330444,0.27036561807406817
1973,Barley,1000.0,285650.0,0.003500787677227376,0.003290642728337699
1973,"Beans, dry",14000.0,285650.0,0.049011027481183266,0.03290642728337699
1973,Maize (corn),115000.0,285650.0,0.40259058288114824,0.3619707001171469
1973,Oats,700.0,285650.0,0.0024505513740591634,0.0023034499098363893
1973,"Other fruits, n.e.c.",3000.0,285650.0,0.010502363031682128,0.009871928185013097
1973,"Other vegetables, fresh n.e.c.",2600.0,285650.0,0.009102047960791178,0.007897542548010478
1973,"Peas, dry",10000.0,285650.0,0.03500787677227376,0.03290642728337699
1973,Potatoes,350.0,285650.0,0.0012252756870295817,0.0009871928185013097
1973,Sorghum,64000.0,285650.0,0.22405041134255207,0.19776762797309572
1973,Wheat,75000.0,285650.0,0.26255907579205323,0.35009806115330444
1974,Barley,1000.0,327117.0,0.0030570101829009194,0.003500787677227376
1974,"Beans, dry",19700.0,327117.0,0.06022310060314811,0.049011027481183266
1974,Maize (corn),129708.0,327117.0,0.39651867680371244,0.40259058288114824
1974,Oats,700.0,327117.0,0.0021399071280306433,0.0024505513740591634
1974,"Other fruits, n.e.c.",3000.0,327117.0,0.009171030548702757,0.010502363031682128
1974,"Other vegetables, fresh n.e.c.",2600.0,327117.0,0.00794822647554239,0.009102047960791178
1974,"Peas, dry",10200.0,327117.0,0.031181503865589377,0.03500787677227376
1974,Potatoes,350.0,327117.0,0.0010699535640153216,0.0012252756870295817
1974,Sorghum,83267.0,327117.0,0.25454806689961085,0.22405041134255207
1974,Wheat,76592.0,327117.0,0.2341425239287472,0.26255907579205323
1975,Barley,1200.0,263651.0,0.004551471452791759,0.0030570101829009194
1975,"Beans, dry",28063.0,263651.0,0.10643995281641261,0.06022310060314811
1975,Maize (corn),107844.0,263651.0,0.4090407394623954,0.39651867680371244
1975,Oats,700.0,263651.0,0.002655025014128526,0.0021399071280306433
1975,"Other fruits, n.e.c.",3000.0,263651.0,0.011378678631979397,0.009171030548702757
1975,"Other vegetables, fresh n.e.c.",2600.0,263651.0,0.00986152148104881,0.00794822647554239
1975,"Peas, dry",9982.0,263651.0,0.03786065670147278,0.031181503865589377
1975,Potatoes,370.0,263651.0,0.0014033703646107922,0.0010699535640153216
1975,Sorghum,54774.0,263651.0,0.20775191446267982,0.25454806689961085
1975,Wheat,55118.0,263651.0,0.20905666961248012,0.2341425239287472
1976,Barley,1307.0,232715.0,0.005616311797692456,0.004551471452791759
1976,"Beans, dry",29656.0,232715.0,0.12743484519691467,0.10643995281641261
1976,Maize (corn),84827.0,232715.0,0.3645102378445738,0.4090407394623954
1976,Oats,700.0,232715.0,0.0030079711234772145,0.002655025014128526
1976,"Other fruits, n.e.c.",3000.0,232715.0,0.012891304814902348,0.011378678631979397
1976,"Other vegetables, fresh n.e.c.",2600.0,232715.0,0.011172464172915368,0.00986152148104881
1976,"Peas, dry",10134.0,232715.0,0.043546827664740134,0.03786065670147278
1976,Potatoes,380.0,232715.0,0.0016328986098876309,0.0014033703646107922
1976,Sorghum,44239.0,232715.0,0.190099477902155,0.20775191446267982
1976,Wheat,55872.0,232715.0,0.24008766087274133,0.20905666961248012
1977,Barley,1300.0,194638.0,0.006679065752833465,0.005616311797692456
1977,"Beans, dry",14642.0,194638.0,0.075226831348452,0.12743484519691467
1977,Maize (corn),80336.0,194638.0,0.41274571255356096,0.3645102378445738
1977,Oats,700.0,194638.0,0.003596420020756481,0.0030079711234772145
1977,"Other fruits, n.e.c.",3000.0,194638.0,0.01541322866038492,0.012891304814902348
1977,"Other vegetables, fresh n.e.c.",2800.0,194638.0,0.014385680083025924,0.011172464172915368
1977,"Peas, dry",7099.0,194638.0,0.03647283675335752,0.043546827664740134
