Year,Item,ET,LST_Day_1km,NDVI,precipitation,rel_humidity,surface_solar_radiation_downwards,soil_ph,soil_soc,soil_nitrogen,soil_cec
2000,Potatoes,-9999.0,21.42132314258884,0.3933990380864417,2.095530065328809,63.624157478521475,11777188.359269125,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2000,Wheat,-9999.0,21.42132314258884,0.3933990380864417,2.095530065328809,63.624157478521475,11777188.359269125,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2000,Sorghum,-9999.0,21.42132314258884,0.3933990380864417,2.095530065328809,63.624157478521475,11777188.359269125,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2000,Maize,-9999.0,21.42132314258884,0.3933990380864417,2.095530065328809,63.624157478521475,11777188.359269125,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2000,Peas,-9999.0,21.42132314258884,0.3933990380864417,2.095530065328809,63.624157478521475,11777188.359269125,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2000,Oats,-9999.0,21.42132314258884,0.3933990380864417,2.095530065328809,63.624157478521475,11777188.359269125,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2000,Barley,-9999.0,21.42132314258884,0.3933990380864417,2.095530065328809,63.624157478521475,11777188.359269125,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2000,Beans,-9999.0,21.42132314258884,0.3933990380864417,2.095530065328809,63.624157478521475,11777188.359269125,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2001,Potatoes,-9999.0,23.146715930360553,0.3965871963643983,2.371527659909968,63.843303481250516,11742026.313347068,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2001,Wheat,-9999.0,23.146715930360553,0.3965871963643983,2.371527659909968,63.843303481250516,11742026.313347068,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2001,Sorghum,-9999.0,23.146715930360553,0.3965871963643983,2.371527659909968,63.843303481250516,11742026.313347068,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2001,Maize,-9999.0,23.146715930360553,0.3965871963643983,2.371527659909968,63.843303481250516,11742026.313347068,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2001,Peas,-9999.0,23.146715930360553,0.3965871963643983,2.371527659909968,63.843303481250516,11742026.313347068,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2001,Oats,-9999.0,23.146715930360553,0.3965871963643983,2.371527659909968,63.843303481250516,11742026.313347068,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2001,Barley,-9999.0,23.146715930360553,0.3965871963643983,2.371527659909968,63.843303481250516,11742026.313347068,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2001,Beans,-9999.0,23.146715930360553,0.3965871963643983,2.371527659909968,63.843303481250516,11742026.313347068,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2002,Potatoes,-9999.0,22.511321068560857,0.38953877696137096,1.9148492794735101,62.42560041462703,12211718.768349102,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2002,Wheat,-9999.0,22.511321068560857,0.38953877696137096,1.9148492794735101,62.42560041462703,12211718.768349102,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2002,Sorghum,-9999.0,22.511321068560857,0.38953877696137096,1.9148492794735101,62.42560041462703,12211718.768349102,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2002,Maize,-9999.0,22.511321068560857,0.38953877696137096,1.9148492794735101,62.42560041462703,12211718.768349102,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2002,Peas,-9999.0,22.511321068560857,0.38953877696137096,1.9148492794735101,62.42560041462703,12211718.768349102,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2002,Oats,-9999.0,22.511321068560857,0.38953877696137096,1.9148492794735101,62.42560041462703,12211718.768349102,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2002,Barley,-9999.0,22.511321068560857,0.38953877696137096,1.9148492794735101,62.42560041462703,12211718.768349102,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2002,Beans,-9999.0,22.511321068560857,0.38953877696137096,1.9148492794735101,62.42560041462703,12211718.768349102,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2003,Potatoes,-9999.0,24.094242803982198,0.3791303619769131,1.5880128107209979,56.06455760586465,12374496.76962759,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2003,Wheat,-9999.0,24.094242803982198,0.3791303619769131,1.5880128107209979,56.06455760586465,12374496.76962759,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2003,Sorghum,-9999.0,24.094242803982198,0.3791303619769131,1.5880128107209979,56.06455760586465,12374496.76962759,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2003,Maize,-9999.0,24.094242803982198,0.3791303619769131,1.5880128107209979,56.06455760586465,12374496.76962759,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2003,Peas,-9999.0,24.094242803982198,0.3791303619769131,1.5880128107209979,56.06455760586465,12374496.76962759,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2003,Oats,-9999.0,24.094242803982198,0.3791303619769131,1.5880128107209979,56.06455760586465,12374496.76962759,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
2003,Barley,-9999.0,24.094242803982198,0.3791303619769131,1.5880128107209979,56.06455760586465,12374496.76962759,62.50075137505385,356.2606440187503,2795.968280862523,221.19789449283704
