feature,mean_abs_shap
MSI_Δ_20250729,0.03190327945364106
NDRE_Δ_20250714,0.03126111395754309
Ratio_B8_B5_Δ_20250714,0.02889123230705264
CI_RE_20250731,0.028541409890551286
NDPI_20250604,0.02735027147858576
NDPI_Δ_20250729,0.0255123034012243
NDPI_Δ_20250711,0.025227220161224098
CI_RE_Δ_20250731,0.023725073665507485
MSI_20250619,0.023576118685472904
NDPI_20250724,0.022598778352167566
EVI_20250724,0.02229230579884075
NDRE_Δ_20250731,0.021756501028995366
MSI_20250629,0.021256797659296618
MSI_Δ_20250621,0.019657449655228983
Ratio_B8_B5_Δ_20250731,0.01629953697176128
MSI_20250724,0.015604261595675559
NDREI_Δ_20250731,0.015384075673901463
NDREI_20250731,0.015038398428109159
MSI_20250624,0.01449533621774504
NDPI_Δ_20250724,0.013179486202387274
NDPI_20250621,0.01297123298613801
WBI_Δ_20250711,0.012180051395932897
MSI_20250621,0.011796650519685847
GNDVI_Δ_20250724,0.011603911726411113
NDPI_Δ_20250731,0.011173512448443714
RVI_Δ_20250629,0.010926573330180281
WBI_Δ_20250619,0.009706669519192438
WBI_20250601,0.009479503634799366
NDREI_20250729,0.009450682009044413
CI_RE_Δ_20250724,0.008869066639470452
NDREI_Δ_20250621,0.00852725610941033
NDREI_Δ_20250619,0.008369295631003654
CI_RE_20250729,0.007939479800283214
EVI_20250601,0.007926384981000538
WBI_Δ_20250604,0.007742020643252167
MSI_Δ_20250724,0.007479495552887967
WBI_20250619,0.007357012135312061
SAVI_Δ_20250624,0.007110714519286049
WBI_20250711,0.0067563660604245054
WBI_20250724,0.006623935091223981
NDREI_Δ_20250604,0.006588247621975493
WBI_20250604,0.006539039302762062
NDVI_20250731,0.0065109698770335475
NDREI_Δ_20250714,0.006392317689832222
MSI_Δ_20250711,0.006225684037810902
RVI_20250731,0.005994108008676126
CI_RE_Δ_20250619,0.0059837380255354945
MSI_20250714,0.005794011709277787
SAVI_20250619,0.005660551479934272
NDREI_20250724,0.0056550991928393714
NDWI_Δ_20250711,0.005595145032147741
WBI_20250629,0.005584078749137384
NDRE_Δ_20250619,0.0055785779782059315
EVI_20250619,0.005423105011928346
GNDVI_20250724,0.005389637804150293
WBI_Δ_20250714,0.005087771037340914
RVI_20250729,0.0050453538564282216
NDVI_Δ_20250711,0.004967806180968156
EVI_Δ_20250714,0.00492868267844286
NDWI_Δ_20250604,0.004732114459590075
CI_RE_Δ_20250714,0.00467127833253199
MSI_20250601,0.004387684378573339
RVI_20250619,0.003890689003718917
NDPI_20250624,0.0037515214917680493
CI_RE_Δ_20250604,0.0036702327926608734
NDWI_Δ_20250724,0.003652089108484796
NDVI_20250724,0.003632346790405537
SAVI_Δ_20250711,0.0036031713191061977
WBI_Δ_20250621,0.0035455898427409127
OSAVI_Δ_20250731,0.0034673988460699546
MSI_20250614,0.003419763305094423
RVI_20250601,0.0033888088686123007
GNDVI_20250614,0.0032700781669119266
OSAVI_20250624,0.003215259068902227
CI_RE_Δ_20250621,0.0032043618493661987
WBI_20250624,0.002997990622484152
WBI_Δ_20250624,0.002983686139974198
EVI_Δ_20250629,0.002978806503558283
SAVI_20250629,0.0029218601958115715
WBI_20250729,0.002891772950878306
NDREI_20250604,0.0028361000204898284
NDWI_Δ_20250729,0.0027961551677618567
WBI_Δ_20250724,0.0027739118844429434
SAVI_20250604,0.002660882154001486
SAVI_Δ_20250604,0.0026588740127768858
GNDVI_Δ_20250604,0.0026576486668496474
NDPI_Δ_20250624,0.002657387971919002
EVI_Δ_20250731,0.002656514613832683
EVI_Δ_20250624,0.002563983179016304
WBI_Δ_20250629,0.0025365518573440414
MSI_Δ_20250714,0.0025198513155015516
NDPI_20250614,0.0024651751602802496
MSI_Δ_20250604,0.0024517501367895497
NDRE_20250601,0.002410763877303303
OSAVI_Δ_20250604,0.002391925460978564
MSI_20250711,0.0023847927411474
NDREI_Δ_20250724,0.0023674269401140185
NDRE_20250619,0.002362854769570449
NDRE_Δ_20250629,0.0023311020855450045
RVI_Δ_20250604,0.002282915860266357
GNDVI_Δ_20250711,0.0022759966383537173
WBI_Δ_20250729,0.0022756010798271366
WBI_20250614,0.0022671666689963333
CI_RE_20250724,0.0022428656385136384
RVI_20250624,0.0021490111659320955
MSI_20250604,0.0021394963625828173
MSI_20250731,0.0021122420944936302
EVI_20250621,0.0020822607523802435
RVI_20250714,0.0020812545935304854
CI_RE_20250714,0.0020701578792802367
NDRE_Δ_20250711,0.00201966589457018
EVI_20250624,0.001995179318371292
EVI_20250604,0.001981539433840845
RVI_20250629,0.0019795737055355615
MSI_Δ_20250614,0.0019667840965949556
NDWI_20250601,0.001958671291315839
Ratio_B8_B5_20250604,0.0019275737307675508
EVI_20250629,0.0017269954335445265
NDPI_20250731,0.0016963106573082492
GNDVI_Δ_20250629,0.0016865799505738066
NDPI_20250711,0.0016371682200860477
Ratio_B8_B5_20250629,0.001617263546177049
Ratio_B8_B5_20250724,0.0016065318947316707
NDWI_20250619,0.0015785236954181392
GNDVI_20250624,0.0015736595125982757
Ratio_B8_B5_20250619,0.0015595091594706484
Ratio_B8_B5_Δ_20250619,0.0015211715010338034
GNDVI_20250619,0.0014745699688549236
NDWI_20250621,0.001440863829341
NDPI_Δ_20250629,0.0014393187088632725
OSAVI_20250619,0.001431753597107891
OSAVI_Δ_20250714,0.0014259363894548963
NDREI_20250619,0.0013986461925794558
GNDVI_Δ_20250731,0.0013316170280941253
NDPI_20250619,0.0013293324873450355
GNDVI_20250731,0.0013289637144962099
RVI_20250711,0.0013266827919607576
NDWI_20250604,0.0013097886180267065
NDWI_Δ_20250731,0.0012614980731574426
NDVI_Δ_20250731,0.0012360960044198138
SAVI_20250621,0.0012352840090156538
NDVI_20250711,0.0012034661835194518
CI_RE_20250604,0.0011527327167881552
OSAVI_20250621,0.001117069924280875
NDREI_Δ_20250711,0.001105351354237404
NDWI_20250731,0.0010971951189798913
EVI_Δ_20250619,0.0010866460805920928
NDPI_Δ_20250614,0.0010478709881775385
RVI_Δ_20250619,0.0010254649371913736
NDPI_20250601,0.001024514234045406
GNDVI_20250711,0.0010226071622757875
SAVI_Δ_20250714,0.0010190841076296489
NDWI_20250614,0.0010170872810670228
GNDVI_Δ_20250729,0.0009961318211835764
GNDVI_20250629,0.00094836944204441
OSAVI_20250714,0.0009334303664319868
GNDVI_20250601,0.0009289791661640985
NDREI_20250621,0.0008844152232178464
WBI_Δ_20250614,0.0008641856236262504
NDRE_20250624,0.0008465031610130501
MSI_Δ_20250619,0.0008409361937441484
WBI_20250714,0.0008391474476239025
NDRE_Δ_20250621,0.0008240190964342572
NDVI_Δ_20250614,0.0008200088476938734
NDWI_20250624,0.0008028639114891296
NDPI_20250729,0.0007914006196633863
Ratio_B8_B5_20250614,0.0007802826248628188
RVI_Δ_20250714,0.0007497420328184414
EVI_20250711,0.0007460683355985708
OSAVI_20250614,0.0007111343674622594
CI_RE_20250624,0.0006744794040102955
NDPI_Δ_20250604,0.0006700085427051667
NDVI_Δ_20250729,0.0006650413316572765
GNDVI_20250621,0.000639381216761554
RVI_20250724,0.0006295756986920608
RVI_Δ_20250731,0.0006294176778950665
EVI_20250614,0.0006240198810887838
RVI_Δ_20250711,0.0006201004936278856
MSI_Δ_20250731,0.0005899597460713197
GNDVI_20250714,0.0005889328067627117
EVI_20250729,0.00057972997139831
NDWI_20250714,0.0005719717730472194
NDRE_20250629,0.0005691569189442757
